sku	price	quantity	leadtime-to-ship
793573158659	39	-1	
071567661522	29.56	-1	1
850701003028	56	-1	
850701003417	56	0	
9970513-BLACK-L-XL	11.65	0	1
9970580-WHITE-BLACK-S	13.99	0	1
9970512-BLK-S-M	10.99	0	1
9970512-BLK-L/XL	10.99	0	1
850701003400	56	0	
9970642-LEMON-LIME-SINGLE-TUBE	7	0	
9970642-WATERMELON-SINGLE-TUBE	7	0	
9970642-LEMONADE-SINGLE-TUBE	7	0	
811660020495	56	0	
9970583-HI-YELLOW-BLACK-S	13.99	0	1
9970583-HI-YELLOW-BLACK-M	13.99	0	1
9970583-HI-YELLOW-BLACK-L	13.99	0	1
9970583-HI-YELLOW-BLACK-XL	13.99	0	1
9970583-PURPLE-WHITE-S	13.99	0	1
9970583-PURPLE-WHITE-M	13.99	0	1
9970583-PURPLE-WHITE-L	13.99	0	1
9970583-PURPLE-WHITE-XL	13.99	0	1
9970583-WHITE-BLACK-S	13.99	0	1
9970583-WHITE-BLACK-M	13.99	0	1
9970583-WHITE-BLACK-L	13.99	0	1
9970583-WHITE-BLACK-XL	13.99	0	1
9970583-WILD-LIME-BLACK-S	13.99	0	1
9970583-WILD-LIME-BLACK-M	13.99	0	1
9970583-WILD-LIME-BLACK-L	13.99	0	1
9970583-WILD-LIME-BLACK-XL	13.99	0	1
9970583-BLACK-WHITE-RED-S	13.99	0	1
9970583-BLACK-WHITE-RED-M	13.99	0	1
9970583-BLACK-WHITE-RED-XL	13.99	0	1
9970583-WHITE-BLACK-RED-S	13.99	0	1
9970583-WHITE-BLACK-RED-M	13.99	0	1
9970583-WHITE-BLACK-RED-L	13.99	0	1
9970583-WHITE-BLACK-RED-XL	13.99	0	1
9970583-BLACK-WHITE-RED-L	13.99	0	1
811660020075	56	0	
811660020884	56	0	
9970641-LEMON-LIME-SINGLE-TUBE	7	0	
811660020716	56	0	
9970764-BLACK-RED-S-M-52-58CM	39.99	0	
9970764-BLACK-RED-L-XL-58-62CM	39.99	0	
9970764-WHITE-SILVER-S-M-52-58CM	39.99	0	
9970764-WHITE-SILVER-L-XL-58-62CM	39.99	0	
9970799-GREEN-YELLOW-24OZ	11.99	0	1
9970799-YELLOW-BLUE-24OZ	11.99	0	1
9970799-RED-BLACK-24OZ	11.99	0	1
9970955-COLORADO-S-M	12.99	0	1
9970955-COLORADO-L-XL	12.99	0	1
9971129-BLK-MLKY-BLUE-36	75	0	1
9971129-BLK-MLKY-BLUE-37	75	0	1
9971129-BLK-MLKY-BLUE-37.5	75	0	1
9971129-BLK-MLKY-BLUE-38	75	0	1
9971129-BLK-MLKY-BLUE-38.5	75	0	1
9971129-BLK-MLKY-BLUE-39	75	0	1
9971129-BLK-MLKY-BLUE-39.5	75	0	1
9971129-BLK-MLKY-BLUE-40	75	0	1
9971129-BLK-MLKY-BLUE-40.5	75	0	1
9971129-BLK-MLKY-BLUE-41	75	0	1
9971129-BLK-MLKY-BLUE-41.5	75	0	1
9971129-BLK-MLKY-BLUE-42	75	0	1
9971129-BLK-MLKY-BLUE-42.5	75	0	1
9971129-BLK-MLKY-BLUE-43	75	0	1
9971130-BLACK-39	69.99	0	1
9971130-BLACK-39.5	69.99	0	1
9971130-BLACK-40	69.99	0	1
9971130-BLACK-40.5	69.99	0	1
9971130-BLACK-41	69.99	0	1
9971130-BLACK-41.5	69.99	0	1
9971130-BLACK-42	69.99	0	1
9971130-BLACK-42.5	69.99	0	1
9971130-BLACK-43	69.99	0	1
9971130-BLACK-43.5	69.99	0	1
9971130-BLACK-44	69.99	0	1
9971130-BLACK-44.5	69.99	0	1
9971130-BLACK-45	69.99	0	1
9971130-BLACK-45.5	69.99	0	1
9971130-BLACK-46	69.99	0	1
9971130-BLACK-46.5	69.99	0	1
9971130-BLACK-47	69.99	0	1
9971130-BLACK-48	69.99	0	1
9971131-BLK-S	44.99	0	1
9971131-BLK-M	44.99	0	1
9971131-BLK-L	44.99	0	1
9971131-BLK-XL	44.99	0	1
9971132-BLK-RTNA-HERO-SMA-52-56CM	49.99	0	1
9971132-BLK-RTNA-HERO-MED-55-59CM	49.99	0	1
9971132-BLK-RTNA-HERO-LRG-58-62CM	49.99	0	1
9971132-MAT-MNT-SIL-HER-SMA-52-56CM	49.99	0	1
9971132-MAT-MNT-SIL-HER-MED-55-59CM	49.99	0	1
9971132-MAT-MNT-SIL-HER-LRG-58-62CM	49.99	0	1
9971132-MAT-TI-OMBRE-SMA-52-56CM	49.99	0	1
9971132-MAT-TI-OMBRE-MED-55-59CM	49.99	0	1
9971132-MAT-TI-OMBRE-LRG-58-62CM	49.99	0	1
9971132-RED-BLACK-HERO-SMA-52-56CM	49.99	0	1
9971132-RED-BLACK-HERO-LRG-58-62CM	49.99	0	1
9971132-RED-BLACK-HERO-XLRG-61-65CM	49.99	0	1
9971135-GRN-FIFTYFOUR-SML-53-55	79.99	0	1
9971135-GRN-FIFTYFOUR-XLRG-59-61	79.99	0	1
9971135-GRN-FIFTYFOUR-2XLRG-61-63	79.99	0	1
9971135-MAT-BLK-RED-GMA-SML-53-55	79.99	0	1
9971135-MAT-BLK-RED-GMA-XLRG-59-61	79.99	0	1
9971135-MAT-BLK-RED-GMA-2XLRG-61-63	79.99	0	1
9971135-WARCHIEF-SML-53-55	79.99	0	1
9971135-WARCHIEF-XLRG-59-61	79.99	0	1
9971135-WARCHIEF-2XLRG-61-63	79.99	0	1
